18.7987, 2.69, 5.32
18.8975, 1.51, 4.66
18.9972, 0, 3.88
19.0958, 1.12, 3.09
19.2044, 0, 2.17
19.3049, 0, 2.3
19.4042, 0, 0.59
19.5019, 0, 4.53
19.602, 0, 4.27
19.7001, 0, 3.48
19.7992, 0, 1.51
19.898, 1.64, 3.35
19.9978, 2.57, 6.37
20.0961, 6.5, 6.11
20.1951, 5.45, 5.58
20.3039, 5.19, 6.11
20.4095, 4.01, 4.93
20.5032, 1.91, 5.19
20.6026, 1.12, 4.4
20.701, 0.59, 4.53
20.8018, 1.51, 6.11
20.8997, 0, 5.58
21.0006, 0.73, 5.19
21.0977, 2.96, 6.37
21.1973, 2.57, 4.53
21.2953, 4.66, 4.66
21.4049, 4.66, 5.45
21.5048, 4.01, 4.8
21.6037, 3.22, 3.88
21.7023, 3.22, 3.75
21.8017, 5.06, 4.4
21.9, 4.8, 3.35
22, 9.78, 7.29
22.098, 10.05, 8.73
22.1979, 6.64, 5.58
22.2966, 6.24, 4.27
22.3954, 3.61, 5.85
22.5032, 2.57, 3.35
22.6111, 2.43, 3.88
22.704, 4.4, 5.32
22.8022, 5.45, 5.98
22.9017, 6.64, 6.5
23.0113, 8.87, 5.98
23.1007, 8.73, 5.19
23.1988, 4.93, 2.17
23.2977, 6.24, 4.14
23.3964, 5.06, 3.22
23.4946, 1.38, 2.3
23.6045, 3.35, 2.3
23.7051, 3.75, 2.3
23.8039, 4.01, 4.01
23.903, 0.59, 2.17
24.0018, 1.78, 2.43
24.1013, 7.03, 6.9
24.1997, 4.93, 4.53
24.2982, 5.19, 4.14
24.3971, 5.45, 4.8
24.4966, 4.27, 3.48
24.5956, 2.3, 2.96
24.7044, 3.35, 4.8
24.8043, 2.43, 3.88
24.904, 2.3, 4.66
25.0023, 1.51, 2.17
25.1011, 0, 2.17
25.2007, 0.86, 2.57
25.2996, 0.59, 2.17
25.3984, 0, 2.04
25.4977, 0.99, 3.75
25.5974, 2.43, 5.45
25.6954, 0.73, 2.43
25.8042, 0, 1.91
25.9051, 0.59, 0.59
26.0046, 0.59, 0.59
26.1026, 0.59, 0.59
26.2015, 0.59, 0.59
26.3009, 0.59, 0.59
26.3996, 0.59, 0.59
26.4989, 0.59, 0.59
26.5974, 0.59, 0.59
26.6958, 0.59, 0.59
26.7953, 0.59, 0.59
26.9041, 0.59, 0.59
27.0049, 0.59, 0.59
27.1032, 0.59, 0.59
27.2032, 0.59, 0.59
27.3019, 0.59, 0.59
27.401, 0.59, 0.59
27.5001, 0.59, 0.59
27.5989, 0.59, 0.59
27.6969, 0.59, 0.59
27.7971, 0.59, 0.59
27.8952, 0.59, 0.59
28.0042, 0.59, 0.59
28.105, 0.59, 0.59
28.2041, 0.59, 0.59
28.3017, 0.59, 0.59
28.4024, 0.59, 0.59
28.5004, 0.59, 0.59
28.6002, 0.59, 0.59
28.699, 0.59, 0.59
28.7981, 0.59, 0.59
28.8961, 0.59, 0.59
28.9956, 0.59, 0.59
29.1047, 0.59, 0.59
29.2051, 0.59, 0.59
29.3035, 0.59, 0.59
29.4028, 0.59, 0.59
29.5017, 0.59, 0.59
29.5999, 0.59, 0.59
29.6993, 0.59, 0.59
29.799, 0.59, 0.59
29.8969, 0.59, 0.59
29.997, 0.59, 0.59
30.0953, 0.59, 0.59
30.2048, 0.59, 0.59
30.3047, 0.59, 0.59
30.4033, 0.59, 0.59
30.5026, 0.59, 0.59
30.6018, 0.59, 0.59
30.7004, 0.59, 0.59
30.8001, 0.59, 0.59
30.8984, 0.59, 0.59
30.9979, 0.59, 0.59
31.0968, 0.59, 0.59
31.1961, 0.59, 0.59
31.3043, 0.59, 0.59
31.4044, 0.59, 0.59
31.5036, 0.59, 0.59
31.603, 0.59, 0.59
31.702, 0.59, 0.59
31.8003, 0.59, 0.59
31.899, 0.59, 0.59
31.999, 0.59, 0.59
32.0978, 0.59, 0.59
32.1961, 0.59, 0.59
32.2959, 0.59, 0.59
32.4042, 0.59, 0.59
32.5048, 0.59, 0.59
32.6128, 0.59, 0.59
32.7026, 0.59, 0.59
