0, 0.59, 0.59
0.098851, 0.59, 0.59
0.198209, 0.59, 0.59
0.297921, 0.59, 0.59
0.4072, 0.59, 0.59
0.506216, 0.59, 0.59
0.604927, 0.59, 0.59
0.70425, 0.59, 0.59
0.803166, 0.59, 0.59
0.90272, 0.59, 0.59
1.00117, 0.59, 0.59
1.10035, 0.59, 0.59
1.19947, 0.59, 0.59
1.29885, 0.59, 0.59
1.3983, 0.59, 0.59
1.50823, 0.59, 0.59
1.60693, 0.59, 0.59
1.70494, 0.59, 0.59
1.8042, 0.59, 0.59
1.90333, 0.59, 0.59
2.00252, 0.59, 0.59
2.10142, 0.59, 0.59
2.20045, 0.59, 0.59
2.29997, 0.59, 0.59
2.39833, 0.59, 0.59
2.49729, 0.59, 0.59
2.60747, 0.59, 0.59
2.70676, 0.59, 0.59
2.80597, 0.59, 0.59
2.90395, 0.59, 0.59
3.00433, 0.59, 0.59
3.10205, 0.59, 0.59
3.20134, 0.59, 0.59
3.29972, 0.59, 0.59
3.39965, 0.59, 0.59
3.49842, 0.59, 0.59
3.59711, 0.59, 0.59
3.70794, 0.59, 0.59
3.8065, 0.59, 0.59
3.90701, 0.59, 0.59
4.00494, 0.59, 0.59
4.1042, 0.59, 0.59
4.20196, 0.59, 0.59
4.30231, 0.59, 0.59
4.39975, 0.59, 0.59
4.49891, 0.59, 0.59
4.59749, 0.59, 0.59
4.69717, 0.59, 0.59
4.80692, 0.59, 0.59
4.90678, 0.59, 0.59
5.00497, 0.59, 0.59
5.10501, 0.59, 0.59
5.20382, 0.59, 0.59
5.30255, 0.59, 0.59
5.40165, 0.59, 0.59
5.50001, 0.59, 0.59
5.59992, 0.59, 0.59
5.69791, 0.59, 0.59
5.79788, 0.59, 0.59
5.90654, 0.59, 0.59
6.00631, 0.59, 0.59
6.10588, 0.59, 0.59
6.20491, 0.59, 0.59
6.3047, 0.59, 0.59
6.40259, 0.59, 0.59
6.5016, 0.59, 0.59
6.60047, 0.59, 0.59
6.69885, 0.73, 0.59
6.79847, 0.59, 0.59
6.89804, 0.59, 0.59
7.00815, 0.59, 0.59
7.10605, 0.59, 0.59
7.2053, 0.59, 0.59
7.30413, 0.59, 0.59
7.403, 9.92, 14.38
7.50249, 4.14, 7.69
7.60184, 1.12, 4.27
7.70022, 5.58, 7.55
7.80011, 2.69, 5.06
7.89792, 2.69, 5.19
7.99686, 2.57, 5.06
8.1072, 2.04, 3.61
8.20661, 3.88, 5.06
8.30567, 3.48, 4.66
8.40402, 2.69, 3.88
8.50307, 1.91, 5.06
8.60203, 1.51, 4.4
8.70179, 2.3, 4.93
8.80074, 3.35, 5.06
8.89934, 3.61, 4.93
8.9977, 3.22, 4.66
9.09715, 2.43, 4.01
9.20851, 2.83, 4.14
9.30725, 4.4, 5.19
9.40494, 4.53, 5.85
9.50464, 3.22, 5.06
9.60424, 1.12, 4.01
9.70298, 0.59, 2.69
9.80102, 1.38, 3.48
9.9007, 3.48, 4.53
9.99957, 1.12, 2.96
10.0983, 1.12, 2.3
10.1971, 0.59, 2.3
10.3085, 0.59, 1.91
10.4066, 1.64, 3.09
10.5058, 2.43, 3.22
10.6037, 2.17, 2.69
10.7038, 1.12, 2.3
10.803, 1.25, 2.3
10.9018, 0.86, 2.96
11.0003, 2.04, 3.48
11.1058, 1.91, 3.75
11.1991, 1.12, 4.14
11.2972, 0.59, 2.3
11.4081, 0.99, 3.09
11.5066, 1.38, 3.48
11.6059, 0.99, 3.09
11.7051, 1.38, 2.83
11.8038, 0.59, 2.3
11.9027, 0.86, 3.09
12.0009, 1.38, 3.75
12.1003, 0.86, 3.35
12.1992, 0.86, 3.35
12.2986, 0.99, 2.69
12.3971, 1.25, 3.22
12.5075, 1.25, 3.35
12.606, 1.25, 4.01
12.7063, 1.38, 3.61
12.8045, 2.3, 3.88
12.9033, 2.04, 4.14
