0, 0.0441018, 0.0571406, 1.66245
0.050741, 0.0439101, 0.0567571, 1.66187
0.101245, 0.0435266, 0.0569489, 1.66149
0.151654, 0.0431431, 0.0571406, 1.66111
0.202911, 0.0429514, 0.0573324, 1.66072
0.252143, 0.0427596, 0.0567571, 1.66015
0.302595, 0.0423761, 0.0571406, 1.65976
0.353767, 0.0421844, 0.0573324, 1.65938
0.403581, 0.0419926, 0.0571406, 1.6588
0.453631, 0.0418009, 0.0573324, 1.65842
0.503955, 0.0416091, 0.0577159, 1.65804
0.555988, 0.0414174, 0.0579076, 1.65765
0.604888, 0.0410339, 0.0575241, 1.65727
0.654408, 0.0408421, 0.0579076, 1.6567
0.705238, 0.0406504, 0.0580994, 1.65631
0.758477, 0.0404586, 0.0582911, 1.65593
0.807121, 0.0402669, 0.0579076, 1.65554
0.857223, 0.0400751, 0.0582911, 1.65497
0.907937, 0.0398834, 0.0584829, 1.65459
0.959528, 0.0396917, 0.0588664, 1.6542
1.00916, 0.0393082, 0.0582911, 1.65382
1.05818, 0.0391164, 0.0586746, 1.65344
1.11099, 0.0389247, 0.0588664, 1.65305
1.16086, 0.0389247, 0.0592499, 1.65267
1.21067, 0.0387329, 0.0586746, 1.65209
1.26059, 0.0385412, 0.0588664, 1.65171
1.31226, 0.0383494, 0.0592499, 1.65133
1.36134, 0.0381577, 0.0594416, 1.65094
1.41203, 0.0377742, 0.0590581, 1.65056
1.46324, 0.0377742, 0.0594416, 1.65018
1.51508, 0.0375824, 0.0596334, 1.64979
1.56347, 0.0373907, 0.0590581, 1.64922
1.61548, 0.0371989, 0.0592499, 1.64883
1.66406, 0.0370072, 0.0594416, 1.64845
1.71716, 0.0368154, 0.0598251, 1.64826
1.76636, 0.0366237, 0.0592499, 1.64768
1.81679, 0.0362402, 0.0594416, 1.6473
1.86942, 0.0360485, 0.0598251, 1.64711
1.92033, 0.0358567, 0.0600168, 1.64672
1.96828, 0.035665, 0.0594416, 1.64634
2.01837, 0.0354732, 0.0596334, 1.64596
2.07069, 0.0354732, 0.0602086, 1.64557
2.11957, 0.0354732, 0.0602086, 1.64519
2.17026, 0.0350897, 0.0598251, 1.64461
2.22054, 0.0350897, 0.0600168, 1.64423
2.27103, 0.0350897, 0.0604003, 1.64385
2.32098, 0.034898, 0.0596334, 1.64346
2.37271, 0.0347062, 0.0598251, 1.64308
2.4218, 0.0345145, 0.0602086, 1.6427
2.47352, 0.0343227, 0.0604003, 1.64251
2.52326, 0.034131, 0.0600168, 1.64212
2.57315, 0.0339392, 0.0602086, 1.64174
2.62421, 0.0339392, 0.0605921, 1.64136
2.67492, 0.0335557, 0.0607838, 1.64116
2.72469, 0.0335557, 0.0602086, 1.64078
2.77615, 0.033364, 0.0605921, 1.6404
2.86932, 0.033364, 0.0607838, 1.6402
2.87831, 0.0331722, 0.0611673, 1.64001
2.92597, 0.0329805, 0.0607838, 1.63963
2.97675, 0.0327888, 0.0609756, 1.63925
3.0292, 0.032597, 0.0613591, 1.63905
3.07848, 0.032597, 0.0615508, 1.63867
3.1284, 0.032597, 0.0609756, 1.6381
3.18048, 0.0324053, 0.0613591, 1.63771
3.23091, 0.0322135, 0.0615508, 1.63733
3.2809, 0.0322135, 0.0609756, 1.63695
3.33099, 0.0320218, 0.0611673, 1.63675
3.38168, 0.03183, 0.0613591, 1.63637
3.43237, 0.03183, 0.0615508, 1.63599
3.48177, 0.0316383, 0.0609756, 1.6356
3.53275, 0.0314465, 0.0609756, 1.63522
3.58313, 0.0316383, 0.0611673, 1.63484
3.63409, 0.0314465, 0.0613591, 1.63445
3.68449, 0.0314465, 0.0607838, 1.63388
3.73435, 0.0314465, 0.0611673, 1.63369
3.78543, 0.0312548, 0.0613591, 1.6333
3.83666, 0.031063, 0.0615508, 1.63311
3.88498, 0.031063, 0.0609756, 1.63273
3.93681, 0.0308713, 0.0611673, 1.63234
3.98682, 0.0308713, 0.0615508, 1.63196
4.03867, 0.0306795, 0.0617426, 1.63177
4.08726, 0.0306795, 0.0611673, 1.63138
4.13889, 0.0304878, 0.0613591, 1.631
4.19007, 0.0306795, 0.0615508, 1.63062
4.24048, 0.0304878, 0.0617426, 1.63023
4.28959, 0.0304878, 0.0613591, 1.63004
4.33938, 0.030296, 0.0615508, 1.62966
4.39214, 0.030296, 0.0617426, 1.62928
4.44126, 0.0301043, 0.0613591, 1.62889
4.491, 0.0301043, 0.0615508, 1.6287
4.54178, 0.0301043, 0.0617426, 1.62832
4.59263, 0.0301043, 0.0619343, 1.62793
4.64351, 0.0299125, 0.0615508, 1.62755
4.69321, 0.0299125, 0.0617426, 1.62736
4.74466, 0.0299125, 0.0619343, 1.62697
4.79658, 0.0297208, 0.0621261, 1.62678
4.8447, 0.0297208, 0.0613591, 1.6264
4.89717, 0.0295291, 0.0617426, 1.62621
4.94774, 0.0295291, 0.0619343, 1.62582
4.99804, 0.0293373, 0.0623178, 1.62563
5.04724, 0.0293373, 0.0617426, 1.62525
5.1412, 0.0293373, 0.0621261, 1.62486
5.19058, 0.0287621, 0.0617426, 1.62448
5.19747, 0.0270363, 0.0590581, 1.62256
5.24851, 0.0255024, 0.0552232, 1.62161
5.2984, 0.0243519, 0.0536892, 1.6218
5.35026, 0.0243519, 0.052347, 1.62045
5.40005, 0.0241601, 0.0490873, 1.61796
5.44986, 0.0228179, 0.0471698, 1.61374
5.54741, 0.0235849, 0.0494708, 1.60761
5.55249, 0.0262694, 0.0525387, 1.60492
5.60125, 0.0278033, 0.0519635, 1.60473
